По дням,Количество заказ-нарядов,Работ,Запчастей,Всего по заказ-наряду
2020-07-14,1.0,251.46198830409358,0.0,251.46198830409358
2020-07-15,1.0,250.87719298245614,0.0,250.87719298245614
2020-07-16,1.0,250.29239766081872,0.0,250.29239766081872
2020-07-17,1.0,249.70760233918128,0.0,249.70760233918128
2020-07-18,1.0,249.12280701754386,0.0,249.12280701754386
2020-07-19,1.0,248.53801169590645,0.0,248.53801169590645
2020-07-20,1.0,247.953216374269,0.0,247.953216374269
2020-07-21,1.0,247.3684210526316,0.0,247.3684210526316
2020-07-22,1.0,246.78362573099415,0.0,246.78362573099415
2020-07-23,1.0,246.19883040935673,0.0,246.19883040935673
2020-07-24,1.0,245.6140350877193,0.0,245.6140350877193
2020-07-25,1.0,245.02923976608187,0.0,245.02923976608187
2020-07-26,1.0,244.44444444444446,0.0,244.44444444444446
2020-07-27,1.0,243.859649122807,0.0,243.859649122807
2020-07-28,1.0,243.2748538011696,0.0,243.2748538011696
2020-07-29,1.0,242.69005847953218,0.0,242.69005847953218
2020-07-30,1.0,242.10526315789474,0.0,242.10526315789474
2020-07-31,1.0,241.5204678362573,0.0,241.5204678362573
2020-08-01,1.0,240.93567251461988,0.0,240.93567251461988
2020-08-02,1.0,240.35087719298247,0.0,240.35087719298247
2020-08-03,1.0,239.76608187134502,0.0,239.76608187134502
2020-08-04,1.0,239.1812865497076,0.0,239.1812865497076
2020-08-05,1.0,238.5964912280702,0.0,238.5964912280702
2020-08-06,1.0,238.01169590643275,0.0,238.01169590643275
2020-08-07,1.0,237.42690058479533,0.0,237.42690058479533
2020-08-08,1.0,236.8421052631579,0.0,236.8421052631579
2020-08-09,1.0,236.25730994152048,0.0,236.25730994152048
2020-08-10,1.0,235.67251461988303,0.0,235.67251461988303
2020-08-11,1.0,235.08771929824562,0.0,235.08771929824562
2020-08-12,1.0,234.5029239766082,0.0,234.5029239766082
2020-08-13,1.0,233.91812865497076,0.0,233.91812865497076
2020-08-14,1.0,233.33333333333334,0.0,233.33333333333334
2020-08-15,1.0,232.74853801169593,0.0,232.74853801169593
